year,period,periodName,latest,value,footnotes
2020,M06,June,true,269.770,[{}]
2020,M05,May,,268.439,[{}]
2020,M04,April,,266.757,[{}]
2020,M03,March,,262.708,[{}]
2020,M02,February,,261.876,[{}]
2020,M01,January,,261.057,[{}]
2019,M12,December,,259.823,[{}]
2019,M11,November,,259.467,[{}]
2019,M10,October,,259.632,[{}]
2019,M09,September,,258.943,[{}]
2019,M08,August,,258.410,[{}]
2019,M07,July,,258.274,[{}]
2019,M06,June,,258.064,[{}]
2019,M05,May,,258.110,[{}]
2019,M04,April,,257.708,[{}]
2019,M03,March,,257.724,[{}]
2019,M02,February,,257.222,[{}]
2019,M01,January,,256.417,[{}]
2018,M12,December,,255.210,[{}]
2018,M11,November,,254.379,[{}]
2018,M10,October,,254.358,[{}]
2018,M09,September,,254.393,[{}]
2018,M08,August,,254.077,[{}]
2018,M07,July,,253.746,[{}]
2018,M06,June,,253.231,[{}]
2018,M05,May,,253.098,[{}]
2018,M04,April,,253.209,[{}]
2018,M03,March,,252.370,[{}]
2018,M02,February,,252.266,[{}]
2018,M01,January,,252.361,[{}]
2017,M12,December,,251.238,[{}]
2017,M11,November,,250.871,[{}]
2017,M10,October,,251.364,[{}]
2017,M09,September,,250.993,[{}]
2017,M08,August,,250.493,[{}]
2017,M07,July,,250.214,[{}]
2017,M06,June,,249.653,[{}]
2017,M05,May,,250.016,[{}]
2017,M04,April,,249.739,[{}]
2017,M03,March,,249.165,[{}]
2017,M02,February,,248.791,[{}]
2017,M01,January,,248.242,[{}]
2016,M12,December,,247.313,[{}]
2016,M11,November,,247.435,[{}]
2016,M10,October,,248.073,[{}]
2016,M09,September,,247.917,[{}]
2016,M08,August,,247.719,[{}]
2016,M07,July,,247.554,[{}]
2016,M06,June,,247.482,[{}]
2016,M05,May,,247.860,[{}]
2016,M04,April,,248.413,[{}]
2016,M03,March,,247.978,[{}]
2016,M02,February,,248.800,[{}]
2016,M01,January,,248.631,[{}]
2015,M12,December,,247.903,[{}]
2015,M11,November,,248.306,[{}]
2015,M10,October,,249.052,[{}]
2015,M09,September,,248.632,[{}]
2015,M08,August,,247.671,[{}]
2015,M07,July,,247.003,[{}]
2015,M06,June,,246.680,[{}]
2015,M05,May,,246.187,[{}]
2015,M04,April,,246.121,[{}]
2015,M03,March,,246.045,[{}]
2015,M02,February,,246.680,[{}]
2015,M01,January,,246.538,[{}]
2014,M12,December,,245.976,[{}]
2014,M11,November,,245.192,[{}]
2014,M10,October,,245.166,[{}]
2014,M09,September,,244.630,[{}]
2014,M08,August,,243.811,[{}]
2014,M07,July,,243.034,[{}]
2014,M06,June,,242.326,[{}]
2014,M05,May,,242.344,[{}]
2014,M04,April,,241.337,[{}]
2014,M03,March,,240.398,[{}]
2014,M02,February,,239.608,[{}]
2014,M01,January,,238.872,[{}]
2013,M12,December,,237.869,[{}]
2013,M11,November,,237.641,[{}]
2013,M10,October,,237.871,[{}]
2013,M09,September,,237.522,[{}]
2013,M08,August,,237.406,[{}]
2013,M07,July,,237.001,[{}]
2013,M06,June,,236.792,[{}]
2013,M05,May,,236.526,[{}]
2013,M04,April,,236.841,[{}]
2013,M03,March,,236.332,[{}]
2013,M02,February,,236.301,[{}]
2013,M01,January,,236.341,[{}]
2012,M12,December,,235.390,[{}]
2012,M11,November,,234.896,[{}]
2012,M10,October,,234.878,[{}]
2012,M09,September,,234.298,[{}]
2012,M08,August,,234.156,[{}]
2012,M07,July,,233.630,[{}]
2012,M06,June,,233.563,[{}]
2012,M05,May,,233.339,[{}]
2012,M04,April,,233.234,[{}]
2012,M03,March,,232.792,[{}]
2012,M02,February,,232.486,[{}]
2012,M01,January,,232.666,[{}]
2011,M12,December,,231.301,[{}]
2011,M11,November,,230.790,[{}]
2011,M10,October,,231.017,[{}]
2011,M09,September,,230.573,[{}]
2011,M08,August,,229.554,[{}]
2011,M07,July,,228.316,[{}]
2011,M06,June,,227.360,[{}]
2011,M05,May,,226.976,[{}]
2011,M04,April,,226.150,[{}]
2011,M03,March,,225.350,[{}]
2011,M02,February,,223.799,[{}]
2011,M01,January,,222.912,[{}]
2010,M12,December,,220.946,[{}]
2010,M11,November,,220.617,[{}]
2010,M10,October,,220.616,[{}]
2010,M09,September,,220.216,[{}]
2010,M08,August,,219.491,[{}]
2010,M07,July,,219.121,[{}]
2010,M06,June,,219.218,[{}]
2010,M05,May,,219.374,[{}]
2010,M04,April,,219.218,[{}]
2010,M03,March,,219.032,[{}]
2010,M02,February,,218.778,[{}]
2010,M01,January,,218.874,[{}]
