st,rptdate,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28
CA,4/30/2020,231338,231307,37851,196436,188477,30411980,229789,229758,6160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8840264,0,0,0
CA,5/31/2020,505561,487343,532853,5210306,5075202,1278634843,444748,434816,107346,54,0,1,0,1,0,54,0,1,0,1,0,4,12,2074,27516898,0,0,0
CO,4/30/2020,51744,51744,31744,195860,160440,58004947,51744,51744,2070,0,0,0,0,0,0,0,0,0,0,0,0,309,439,210532,2894358,0,0,0
CO,5/31/2020,33085,33085,41012,472934,436328,140639953,33085,33085,6417,0,0,0,0,0,0,0,0,0,0,0,0,4265,22180,6256573,2058991,0,0,0
CT,5/31/2020,26736,24932,23258,237632,219034,44436164,24911,23424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1590527,0,0,0
CT,6/30/2020,8444,9921,16337,263203,251548,60420964,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,923405,0,0,0
DC,4/30/2020,7034,7030,4453,9513,9340,1681842,3512,3510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,237,436628,0,0,0
DC,5/31/2020,6715,6715,6463,20823,20228,3587834,2845,2845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,22309,422408,0,0,0
DE,5/31/2020,6094,113,113,37511,916,140430,4171,107,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274328,0,0,0
FL,4/30/2020,18273,0,338,5,609,92754,8274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399923,0,0,0
GA,3/31/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,4/30/2020,82908,76094,7040,12535,12535,19573,38634,36921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2299919,0,0,0
GA,5/31/2020,118162,103738,64883,454688,454688,82519,59461,54780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4031023,0,0,0
GA,6/30/2020,84948,76327,51862,625390,625472,45606,41769,39274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3412635,0,0,0
HI,4/30/2020,10551,10481,0,0,0,0,9121,9121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279993,0,0,0
HI,5/31/2020,33674,32388,29937,355922,248912,69696348,18847,18847,8436,5651,0,0,0,0,0,4173,0,0,0,0,0,2,5,1334,2234307,0,0,0
HI,6/30/2020,42609,39172,13182,534049,279429,77355949,14783,14783,146903,7224,0,0,0,0,0,4347,0,0,0,0,0,6245,33208,8751199,3142382,0,0,0
IA,4/30/2020,32756,32030,12382,44105,44105,11133979,12610,12610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,928782,0,0,0
IA,5/31/2020,14537,13612,7837,90120,90120,21399119,5980,5980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592211,0,0,0
ID,5/31/2020,8851,8721,30761,129276,180882,36576935,2234,2166,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,439367,0,0,0
IN,4/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,5/31/2020,109719,109704,83525,655137,649196,103636000,52042,52041,4173,0,0,0,0,0,0,0,0,0,0,0,0,10919,30433,5814420,4148047,0,0,0
IN,6/30/2020,65307,64743,47342,886790,721852,110202180,19587,19522,36190,3,0,0,0,0,0,0,0,0,0,0,0,492,2618,322483,3192406,1,7,1043
KS,5/31/2020,30988,18297,12189,145377,121930,27613279,10962,7061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,916027,0,0,0
