state_initial,state,date,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,death,hospitalized,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,positiveIncrease,negativeIncrease,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,grade,nyt_cases,nyt_deaths,state_avg_income ,state_pop,state_pop_mil,positiveIncrease_per_mil,negativeIncrease_per_mil,totalTestResultsIncrease_per_mil,deathIncrease_per_mil,hospitalizedIncrease_per_mil
AL,Alabama,2020-03-07,0.0,,,,,,,,,,,,,,,,,,0.0,,,0,0,0,0,0,0,0,,,,27382.73741,4887871,4.8879,0.0,0.0,0.0,0.0,0.0
AL,Alabama,2020-03-08,0.0,,,,,,,,,,,,,,,,,,0.0,,,0,0,0,0,0,0,0,,,,27382.73741,4887871,4.8879,0.0,0.0,0.0,0.0,0.0
AL,Alabama,2020-03-09,0.0,,,,,,,,,,,,,,,,,,0.0,,,0,0,0,0,0,0,0,,,,27382.73741,4887871,4.8879,0.0,0.0,0.0,0.0,0.0
AL,Alabama,2020-03-10,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0,0,0,0,0,0,0,,,,27382.73741,4887871,4.8879,0.0,0.0,0.0,0.0,0.0
AL,Alabama,2020-03-11,0.0,10.0,,,,,,,,,,,,,,,,,0.0,,,0,10,10,10,10,0,0,,,,27382.73741,4887871,4.8879,0.0,2.0459,2.0459,0.0,0.0
AL,Alabama,2020-03-12,0.0,10.0,,,,,,,,,,2020-03-09 00:00:00,2020-03-09T00:00:00Z,,,,,,0.0,,,0,0,10,0,10,0,0,,,,27382.73741,4887871,4.8879,0.0,0.0,0.0,0.0,0.0
AL,Alabama,2020-03-13,1.0,11.0,,,,,,,,,,2020-03-13 00:00:00,2020-03-13T00:00:00Z,,,,,,1.0,,,1,1,12,2,12,0,0,,6.0,0.0,27382.73741,4887871,4.8879,0.2046,0.2046,0.4092,0.0,0.0
AL,Alabama,2020-03-14,6.0,22.0,46.0,,,,,,,,,2020-03-13 00:00:00,2020-03-13T00:00:00Z,,,,,,6.0,,,5,11,28,16,28,0,0,,12.0,0.0,27382.73741,4887871,4.8879,1.0229,2.2505,3.2734,0.0,0.0
AL,Alabama,2020-03-15,12.0,28.0,46.0,,,,,,,,,2020-03-15 14:12:00,2020-03-15T14:12:00Z,0.0,,,,,12.0,,,6,6,40,12,40,0,0,,23.0,0.0,27382.73741,4887871,4.8879,1.2275,1.2275,2.4551,0.0,0.0
AL,Alabama,2020-03-16,28.0,28.0,40.0,,,,,,,,,2020-03-16 15:08:00,2020-03-16T15:08:00Z,0.0,,,,,28.0,,,16,0,56,16,56,0,0,,29.0,0.0,27382.73741,4887871,4.8879,3.2734,0.0,3.2734,0.0,0.0
