state_initial,state,date,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,death,hospitalized,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,positiveIncrease,negativeIncrease,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,grade,nyt_cases,nyt_deaths
AL,Alabama,2020-03-07 00:00:00,0.0,,,,,,,,,,,,,,,,,,0.0,,,0,0,0,0,0,0,0,,,
AL,Alabama,2020-03-08 00:00:00,0.0,,,,,,,,,,,,,,,,,,0.0,,,0,0,0,0,0,0,0,,,
AL,Alabama,2020-03-09 00:00:00,0.0,,,,,,,,,,,,,,,,,,0.0,,,0,0,0,0,0,0,0,,,
AL,Alabama,2020-03-10 00:00:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0,0,0,0,0,0,0,,,
AL,Alabama,2020-03-11 00:00:00,0.0,10.0,,,,,,,,,,,,,,,,,0.0,,,0,10,10,10,10,0,0,,,
AL,Alabama,2020-03-12 00:00:00,0.0,10.0,,,,,,,,,,2020-03-09 00:00:00,2020-03-09T00:00:00Z,,,,,,0.0,,,0,0,10,0,10,0,0,,,
AL,Alabama,2020-03-13 00:00:00,1.0,11.0,,,,,,,,,,2020-03-13 00:00:00,2020-03-13T00:00:00Z,,,,,,1.0,,,1,1,12,2,12,0,0,,6.0,0.0
AL,Alabama,2020-03-14 00:00:00,6.0,22.0,46.0,,,,,,,,,2020-03-13 00:00:00,2020-03-13T00:00:00Z,,,,,,6.0,,,5,11,28,16,28,0,0,,12.0,0.0
AL,Alabama,2020-03-15 00:00:00,12.0,28.0,46.0,,,,,,,,,2020-03-15 14:12:00,2020-03-15T14:12:00Z,0.0,,,,,12.0,,,6,6,40,12,40,0,0,,23.0,0.0
AL,Alabama,2020-03-16 00:00:00,28.0,28.0,40.0,,,,,,,,,2020-03-16 15:08:00,2020-03-16T15:08:00Z,0.0,,,,,28.0,,,16,0,56,16,56,0,0,,29.0,0.0
AL,Alabama,2020-03-17 00:00:00,36.0,28.0,,,,,,,,,,2020-03-17 11:15:00,2020-03-17T11:15:00Z,0.0,,,,,36.0,,,8,0,64,8,64,0,0,,39.0,0.0
AL,Alabama,2020-03-18 00:00:00,46.0,28.0,,,,,,,,,,2020-03-18 11:05:00,2020-03-18T11:05:00Z,0.0,,,,,46.0,,,10,0,74,10,74,0,0,,51.0,0.0
AL,Alabama,2020-03-19 00:00:00,68.0,28.0,,,,,,,,,,2020-03-19 10:45:00,2020-03-19T10:45:00Z,0.0,,,,,68.0,,,22,0,96,22,96,0,0,,78.0,0.0
AL,Alabama,2020-03-20 00:00:00,81.0,28.0,,,,,,,,,,2020-03-20 11:00:00,2020-03-20T11:00:00Z,0.0,,,,,81.0,,,13,0,109,13,109,0,0,,106.0,0.0
AL,Alabama,2020-03-21 00:00:00,124.0,28.0,,,,,,,,,,2020-03-21 11:20:00,2020-03-21T11:20:00Z,0.0,,,,,124.0,,,43,0,152,43,152,0,0,,131.0,0.0
AL,Alabama,2020-03-22 00:00:00,138.0,1464.0,,,,,,,,,,2020-03-22 10:37:00,2020-03-22T10:37:00Z,0.0,,,,,138.0,,,14,1436,1602,1450,1602,0,0,,157.0,0.0
AL,Alabama,2020-03-23 00:00:00,167.0,1665.0,,,,,,,,,C,2020-03-23 12:00:00,2020-03-23T12:00:00Z,0.0,,,,,167.0,,,29,201,1832,230,1832,0,0,,196.0,0.0
AL,Alabama,2020-03-24 00:00:00,215.0,2106.0,,74.0,,,,,,,C,2020-03-24 12:00:00,2020-03-24T12:00:00Z,0.0,,,,,215.0,,,48,441,2321,489,2321,0,0,,242.0,0.0
AL,Alabama,2020-03-25 00:00:00,283.0,2529.0,,91.0,,,,,,,C,2020-03-25 11:30:00,2020-03-25T11:30:00Z,0.0,,,,,283.0,,,68,423,2812,491,2812,0,0,,386.0,1.0
AL,Alabama,2020-03-26 00:00:00,506.0,3593.0,,106.0,,,,,,,C,2020-03-26 00:00:00,2020-03-26T00:00:00Z,1.0,,,,,506.0,,,223,1064,4099,1287,4099,1,0,,538.0,3.0
AL,Alabama,2020-03-27 00:00:00,587.0,4184.0,,112.0,,,,,,,B,2020-03-27 00:00:00,2020-03-27T00:00:00Z,3.0,,,,,587.0,,,81,591,4771,672,4771,2,0,,639.0,4.0
AL,Alabama,2020-03-28 00:00:00,696.0,4184.0,,134.0,,,,,,,B,2020-03-28 00:00:00,2020-03-28T00:00:00Z,3.0,,,,,696.0,,,109,0,4880,109,4880,0,0,,720.0,4.0
AL,Alabama,2020-03-29 00:00:00,806.0,4184.0,,158.0,,,,,,,B,2020-03-29 00:00:00,2020-03-29T00:00:00Z,4.0,,,,,806.0,,,110,0,4990,110,4990,1,0,,830.0,5.0
AL,Alabama,2020-03-30 00:00:00,859.0,5694.0,,156.0,,,,,,,B,2020-03-29 00:00:00,2020-03-29T00:00:00Z,6.0,,,,,859.0,,,53,1510,6553,1563,6553,2,0,,947.0,11.0
AL,Alabama,2020-03-31 00:00:00,981.0,6298.0,,172.0,,,,,,,B,2020-03-31 00:00:00,2020-03-31T00:00:00Z,13.0,,,,,981.0,,,122,604,7279,726,7279,7,0,,999.0,14.0
AL,Alabama,2020-04-01 00:00:00,1077.0,6697.0,,258.0,,,,,,,B,2020-04-01 00:00:00,2020-04-01T00:00:00Z,26.0,,,,,1077.0,,,96,399,7774,495,7774,13,0,,1108.0,28.0
AL,Alabama,2020-04-02 00:00:00,1233.0,7503.0,,226.0,,,,,,,B,2020-04-02 00:00:00,2020-04-02T00:00:00Z,32.0,,,,,1233.0,,,156,806,8736,962,8736,6,0,,1270.0,32.0
AL,Alabama,2020-04-03 00:00:00,1432.0,8187.0,,238.0,,,,,,,B,2020-04-03 00:00:00,2020-04-03T00:00:00Z,35.0,,,,,1432.0,,,199,684,9619,883,9619,3,0,,1535.0,38.0
AL,Alabama,2020-04-04 00:00:00,1580.0,9273.0,,238.0,212.0,,,,,,B,2020-04-04 00:00:00,2020-04-04T00:00:00Z,43.0,212.0,,,,1580.0,,,148,1086,10853,1234,10853,8,212,,1632.0,44.0
